latitude,longitude,accuracy,speed,bearing,kf_latitude,kf_longitude,kf_speed_lat,kf_speed_long,kf_covariance_lat,kf_covariance_long,kf_speed_total,scan_id_label
42.64944229,-71.32353679,7,2.55,180.8999939,-3.32341726001245e-15,0,0,0,0,0,0,1
42.6482709,-71.32103509,13,8.51,124.3000031,-3.32341726001245e-15,-71.3235560512882,0,-0.62818802643709,0,1.50118167263856,0.62818802643709,1
42.64823628,-71.32094692,6,5.52,126.0999985,42.6492976225384,-71.3230238321028,-7.56993273959559,23.8731380294296,1.66608957127887,2.79186089937516,25.0445722873081,1
42.6482226,-71.32091996,5,3.91,124.4000015,42.6488512339716,-71.3219482972735,-24.6073068708708,54.0773395893747,2.35576172701233,2.85251036322127,59.4127781584211,1
42.64820499,-71.32088962,4,3.35,122.0999985,42.648455808059,-71.3212298605548,-30.6565349778685,60.4443187662388,2.40088589209951,2.48148920466514,67.7741750813978,1
42.64819154,-71.32085416,4,2.31,106.3000031,42.6482113726211,-71.3208174064274,-29.2748877178935,55.9069979415791,2.05064707920043,2.0042359504787,63.1079350774132,1
42.64818181,-71.32082902,3,1.89,106.3000031,42.6480739129508,-71.3205751283872,-25.5735689601765,48.3585225452966,1.83366595796169,1.7644782979227,54.7042423594812,1
42.64819385,-71.32081086,3,1.59,106.3000031,42.6480207710681,-71.3204865196159,-20.5724309038266,38.7931312681547,1.48544100289307,1.43906510519575,43.91049927843,1
42.64819147,-71.32080075,3,1.37,106.3000031,42.6480010811652,-71.3204409600079,-15.5877772195054,30.2223938951451,1.32732223704178,1.29809629618499,34.0054685513703,1
42.64819723,-71.3207846,3,1.42,106.3000031,42.6480042248928,-71.3204391782739,-11.182718293089,22.1077116873479,1.25421722419111,1.23853645357436,24.7750702213634,1
42.6482203,-71.32076414,3,2.4,38.29999924,42.6480272058305,-71.3204680045883,-7.38094025323845,15.0141766758393,1.22354694751029,1.21710279187016,16.7303251694399,1
42.64823985,-71.32075028,3,2.57,32.70000076,42.6480684549212,-71.3205111858658,-4.06623442760483,9.62051395787263,1.21298199054656,1.21165646465885,10.4445464829193,1
42.648267,-71.32073576,4,3.03,33.09999847,42.6481174630212,-71.3205585090526,-1.39438871856774,5.76898021279989,1.21049226123449,1.21127802831039,5.93510341899328,1
42.64830213,-71.32070912,3,3.99,27.39999962,42.6481606108788,-71.3205849198272,-0.0133696870093594,3.36382620476964,1.34607181572514,1.34755693707596,3.3638527738927,1
42.64833631,-71.32068777,4,4.31,24.39999962,42.6482216799635,-71.3206206386211,1.57546731564113,1.33488832972774,1.28213982211038,1.28316026993894,2.06495135911158,1
42.64837252,-71.32066536,3,4.46,26.89999962,42.6482707540946,-71.3206352179141,2.59507802289263,0.675872780547726,1.3870505650357,1.387730325037,2.68164762047246,1
42.64840839,-71.32064156,4,4.53,26.70000076,42.648327821945,-71.3206437588308,3.49353697413708,0.342721974504005,1.29660504123992,1.29685826295658,3.51030752804805,1
42.64844423,-71.32062011,4,4.53,28,42.6483758576194,-71.3206397180728,3.88046812616768,0.438157180761154,1.39130764676979,1.39136286735551,3.90512670642783,1
42.64847945,-71.32059737,4,4.5,28.70000076,42.6484222911092,-71.3206288160873,4.20259265225049,0.67333542547798,1.45357019698385,1.45352594702907,4.25619144258731,1
42.64851163,-71.32057262,5,4.46,29,42.6484665433796,-71.3206121694343,4.40011093741048,1.10694883235018,1.48834779289718,1.48827839600922,4.53721412090732,1
42.64854351,-71.32054235,5,4.65,30.70000076,42.6485070546247,-71.3205915510142,4.35646055993762,1.59003374952947,1.6274473563475,1.62737952075421,4.63755926484339,1
42.64857312,-71.32052065,4,4.55,30.5,42.6485445111327,-71.3205642741823,4.25914622047364,1.90418195937844,1.71682113834857,1.71677360274973,4.66542982605003,1
42.64860664,-71.32048847,4,5.1,33.09999847,42.6485781816086,-71.320535599342,4.03564014472182,2.0986254200253,1.62274323249943,1.62272120274074,4.54869432159018,1
42.64865024,-71.32045751,4,5.12,32.90000153,42.6486110021063,-71.3205048990193,3.7926465733866,2.50028645015147,1.56622217880664,1.56621446700125,4.54264244283349,1
42.64868784,-71.32042427,4,4.74,32.90000153,42.6486468324906,-71.3204721754182,3.48587788707,2.69177500153788,1.53570879987941,1.53570810292385,4.40420223224001,1
42.64872758,-71.32039272,4,4.29,33.29999924,42.648681576619,-71.3204384488199,3.42865464225536,2.8305457220509,1.52152371196559,1.52152560958034,4.44608386565974,1
42.64875964,-71.32036242,4,3.89,33.20000076,42.6487177926126,-71.3204050295566,3.51736544539819,3.03376394085781,1.51635599165646,1.51635819047761,4.6449524567352,1
42.6487822,-71.3203434,5,3.13,33.70000076,42.6487528297036,-71.3203718794937,3.4961417449483,3.25382780007489,1.51536369660746,1.51536530160645,4.77602370736478,1
42.64880328,-71.32033095,5,2.63,31.70000076,42.6487829320298,-71.3203431344438,3.36983648767409,3.25285682702069,1.64010455448299,1.64010558499724,4.68368183064934,1
42.64880665,-71.32033475,5,1.03,31.70000076,42.6488089425195,-71.3203201650175,3.39526433755833,3.05185747041648,1.72303261548481,1.72303307523143,4.56526603185754,1
42.6488196,-71.32034113,5,0.74,31.70000076,42.6488266183868,-71.32030846095,3.2182722278739,2.54927753052775,1.76991359525807,1.76991368315502,4.10561713514035,1
42.64882021,-71.32032001,5,0.44,31.70000076,42.648841517003,-71.320306251418,2.81585976904918,1.9923355312585,1.79255292731255,1.79255284070878,3.44941547339036,1
42.64881792,-71.32031429,4,0.37,31.70000076,42.6488489426419,-71.320300397153,2.44348128981777,1.64152597672006,1.80159115513664,1.80159102317352,2.94367259489507,1
42.64882076,-71.3203154,4,0.4,31.70000076,42.6488481797655,-71.3202979613306,1.7583226572197,1.24477916624523,1.65494532998975,1.65494523398743,2.15433835309366,1
42.64882415,-71.32031045,3,0,0,42.648846371288,-71.3202983918951,1.3305860030077,0.957469994059402,1.57725255051961,1.57725249228367,1.6392705392717,1
42.64881914,-71.32030682,3,0,0,42.6488423557979,-71.3202994734009,0.931324225805751,0.651688963971799,1.3643371296781,1.36433710733857,1.13668963192919,1
42.64882253,-71.32030386,4,0.73,31.70000076,42.6488369597999,-71.3202993410049,0.973290359215758,0.281308034125824,1.26900647303397,1.26900646739026,1.01312799458216,1
42.64883884,-71.32029244,4,1.51,31.70000076,42.6488375744905,-71.3202989502408,0.731052358137729,-0.280324444978724,1.3695923818535,1.36959238376491,0.782955519037553,1
42.64887309,-71.3203003,3,3.41,354,42.6488424203007,-71.3202975201293,0.187707321468873,-0.545466641854928,1.44343126715859,1.44343127176497,0.576860378176133,1
42.64891803,-71.32032241,3,3.95,339.2999878,42.6488569051412,-71.3203002497417,-0.0887784078282874,-0.325151251742683,1.32306982611239,1.32306982952183,0.337053322497138,1
42.64893808,-71.32034927,3,2.85,324.5,42.648881687891,-71.3203101458874,0.667505157065637,0.0199997103566164,1.25954848402969,1.25954848607328,0.66780470432872,1
